video_id,subject,action,camera,repetition,setup
S010C001P007R001A046_rgb.avi,7,46,1,1,10
S016C001P040R001A033_rgb.avi,40,33,1,1,16
S005C003P021R001A058_rgb.avi,21,58,3,1,5
S014C002P007R001A014_rgb.avi,7,14,2,1,14
S016C001P040R002A003_rgb.avi,40,3,1,2,16
S014C002P007R002A024_rgb.avi,7,24,2,2,14
S009C003P007R002A012_rgb.avi,7,12,3,2,9
S017C002P020R002A053_rgb.avi,20,53,2,2,17
S009C003P007R001A022_rgb.avi,7,22,3,1,9
S003C002P007R002A048_rgb.avi,7,48,2,2,3
S005C002P010R001A053_rgb.avi,10,53,2,1,5
S009C002P007R002A053_rgb.avi,7,53,2,2,9
S017C003P020R002A012_rgb.avi,20,12,3,2,17
S016C001P021R001A027_rgb.avi,21,27,1,1,16
S005C003P010R002A022_rgb.avi,10,22,3,2,5
S003C003P007R001A039_rgb.avi,7,39,3,1,3
S017C003P020R001A022_rgb.avi,20,22,3,1,17
S016C001P039R002A042_rgb.avi,39,42,1,2,16
S003C003P007R002A009_rgb.avi,7,9,3,2,3
S016C001P021R002A017_rgb.avi,21,17,1,2,16
S005C003P010R001A012_rgb.avi,10,12,3,1,5
S005C002P021R001A019_rgb.avi,21,19,2,1,5
S014C003P007R001A055_rgb.avi,7,55,3,1,14
S007C001P026R001A022_rgb.avi,26,22,1,1,7
S005C002P021R002A029_rgb.avi,21,29,2,2,5
S007C001P026R002A012_rgb.avi,26,12,1,2,7
S006C001P007R002A011_rgb.avi,7,11,1,2,6
S008C003P007R001A029_rgb.avi,7,29,3,1,8
S002C002P007R002A043_rgb.avi,7,43,2,2,2
S014C001P037R002A021_rgb.avi,37,21,1,2,14
S008C003P007R002A019_rgb.avi,7,19,3,2,8
S006C001P007R001A021_rgb.avi,7,21,1,1,6
S014C001P037R001A011_rgb.avi,37,11,1,1,14
S008C002P036R002A012_rgb.avi,36,12,2,2,8
S008C002P036R001A022_rgb.avi,36,22,2,1,8
S008C003P036R002A053_rgb.avi,36,53,3,2,8
S004C001P003R002A052_rgb.avi,3,52,1,2,4
S002C003P007R002A002_rgb.avi,7,2,3,2,2
S008C002P007R002A058_rgb.avi,7,58,2,2,8
S002C003P007R001A032_rgb.avi,7,32,3,1,2
S016C003P007R002A048_rgb.avi,7,48,3,2,16
S006C002P023R001A008_rgb.avi,23,8,2,1,6
S001C003P007R001A014_rgb.avi,7,14,3,1,1
S013C003P037R001A024_rgb.avi,37,24,3,1,13
S010C002P021R001A058_rgb.avi,21,58,2,1,10
S002C002P011R002A058_rgb.avi,11,58,2,2,2
S006C002P023R002A038_rgb.avi,23,38,2,2,6
S001C003P007R002A024_rgb.avi,7,24,3,2,1
S013C003P037R002A014_rgb.avi,37,14,3,2,13
S001C002P007R001A055_rgb.avi,7,55,2,1,1
S008C001P033R001A003_rgb.avi,33,3,1,1,8
S006C003P023R001A049_rgb.avi,23,49,3,1,6
S002C003P011R001A029_rgb.avi,11,29,3,1,2
S010C003P021R001A019_rgb.avi,21,19,3,1,10
S008C001P033R002A033_rgb.avi,33,33,1,2,8
S002C003P011R002A019_rgb.avi,11,19,3,2,2
S010C003P021R002A029_rgb.avi,21,29,3,2,10
S013C002P037R002A055_rgb.avi,37,55,2,2,13
S002C001P012R002A020_rgb.avi,12,20,1,2,2
S016C002P007R001A039_rgb.avi,7,39,2,1,16
S002C001P012R001A010_rgb.avi,12,10,1,1,2
S016C002P007R002A009_rgb.avi,7,9,2,2,16
S017C003P007R002A043_rgb.avi,7,43,3,2,17
S008C001P029R002A051_rgb.avi,29,51,1,2,8
S017C002P007R002A002_rgb.avi,7,2,2,2,17
S013C001P007R002A050_rgb.avi,7,50,1,2,13
S017C002P007R001A032_rgb.avi,7,32,2,1,17
S013C001P007R001A060_rgb.avi,7,60,1,1,13
S002C001P010R001A027_rgb.avi,10,27,1,1,2
S006C001P022R001A047_rgb.avi,22,47,1,1,6
S002C001P010R002A017_rgb.avi,10,17,1,2,2
S004C002P003R001A051_rgb.avi,3,51,2,1,4
S006C003P007R001A053_rgb.avi,7,53,3,1,6
S014C003P037R002A053_rgb.avi,37,53,3,2,14
S006C002P007R001A012_rgb.avi,7,12,2,1,6
S014C002P037R001A022_rgb.avi,37,22,2,1,14
S002C001P007R001A040_rgb.avi,7,40,1,1,2
S006C002P007R002A022_rgb.avi,7,22,2,2,6
S014C002P037R002A012_rgb.avi,37,12,2,2,14
S004C003P003R002A020_rgb.avi,3,20,3,2,4
S008C001P036R001A011_rgb.avi,36,11,1,1,8
S008C001P036R002A021_rgb.avi,36,21,1,2,8
S004C003P003R001A010_rgb.avi,3,10,3,1,4
S009C001P007R001A050_rgb.avi,7,50,1,1,9
S015C003P037R002A058_rgb.avi,37,58,3,2,15
S016C002P021R002A024_rgb.avi,21,24,2,2,16
S016C002P039R001A041_rgb.avi,39,41,2,1,16
S009C001P007R002A060_rgb.avi,7,60,1,2,9
S007C003P007R001A058_rgb.avi,7,58,3,1,7
S016C002P021R001A014_rgb.avi,21,14,2,1,16
S010C003P007R002A004_rgb.avi,7,4,3,2,10
S001C001P003R001A008_rgb.avi,3,8,1,1,1
S007C002P026R002A021_rgb.avi,26,21,2,2,7
S010C003P007R001A034_rgb.avi,7,34,3,1,10
S001C001P003R002A038_rgb.avi,3,38,1,2,1
S016C003P040R001A041_rgb.avi,40,41,3,1,16
S007C002P026R001A011_rgb.avi,26,11,2,1,7
S016C002P040R002A030_rgb.avi,40,30,2,2,16
S010C002P007R002A045_rgb.avi,7,45,2,2,10
S007C003P026R002A060_rgb.avi,26,60,3,2,7
S014C001P007R002A017_rgb.avi,7,17,1,2,14
