video_id,subject,action,camera,repetition,setup
S010C001P007R001A046_rgb.avi,7,46,1,1,10
S014C001P025R002A054_rgb.avi,25,54,1,2,14
S010C001P017R002A034_rgb.avi,17,34,1,2,10
S016C001P040R001A033_rgb.avi,40,33,1,1,16
S016C001P008R002A008_rgb.avi,8,8,1,2,16
S010C001P017R001A004_rgb.avi,17,4,1,1,10
S016C001P040R002A003_rgb.avi,40,3,1,2,16
S016C001P008R001A038_rgb.avi,8,38,1,1,16
S006C001P015R001A054_rgb.avi,15,54,1,1,6
S013C001P028R001A026_rgb.avi,28,26,1,1,13
S007C001P017R002A058_rgb.avi,17,58,1,2,7
S011C001P015R002A008_rgb.avi,15,8,1,2,11
S013C001P028R002A016_rgb.avi,28,16,1,2,13
S011C001P015R001A038_rgb.avi,15,38,1,1,11
S001C001P008R001A054_rgb.avi,8,54,1,1,1
S016C001P021R001A027_rgb.avi,21,27,1,1,16
S009C001P025R001A013_rgb.avi,25,13,1,1,9
S016C001P039R002A042_rgb.avi,39,42,1,2,16
S009C001P025R002A023_rgb.avi,25,23,1,2,9
S016C001P021R002A017_rgb.avi,21,17,1,2,16
S015C001P016R001A012_rgb.avi,16,12,1,1,15
S007C001P026R001A022_rgb.avi,26,22,1,1,7
S015C001P016R002A022_rgb.avi,16,22,1,2,15
S007C001P026R002A012_rgb.avi,26,12,1,2,7
S006C001P007R002A011_rgb.avi,7,11,1,2,6
S010C001P015R001A033_rgb.avi,15,33,1,1,10
S014C001P027R001A053_rgb.avi,27,53,1,1,14
S014C001P037R002A021_rgb.avi,37,21,1,2,14
S006C001P017R002A053_rgb.avi,17,53,1,2,6
S006C001P007R001A021_rgb.avi,7,21,1,1,6
S014C001P037R001A011_rgb.avi,37,11,1,1,14
S010C001P015R002A003_rgb.avi,15,3,1,2,10
S017C001P008R001A033_rgb.avi,8,33,1,1,17
S001C001P002R002A044_rgb.avi,2,44,1,2,1
S017C001P008R002A003_rgb.avi,8,3,1,2,17
S004C001P003R002A052_rgb.avi,3,52,1,2,4
S012C001P019R002A057_rgb.avi,19,57,1,2,12
S002C001P014R001A049_rgb.avi,14,49,1,1,2
S003C001P016R002A045_rgb.avi,16,45,1,2,3
S008C001P025R002A028_rgb.avi,25,28,1,2,8
S008C001P025R001A018_rgb.avi,25,18,1,1,8
S011C001P001R002A024_rgb.avi,1,24,1,2,11
S011C001P019R001A041_rgb.avi,19,41,1,1,11
S011C001P001R001A014_rgb.avi,1,14,1,1,11
S006C001P001R002A048_rgb.avi,1,48,1,2,6
S009C001P008R002A052_rgb.avi,8,52,1,2,9
S003C001P008R002A049_rgb.avi,8,49,1,2,3
S013C001P015R002A025_rgb.avi,15,25,1,2,13
S008C001P033R001A003_rgb.avi,33,3,1,1,8
S013C001P015R001A015_rgb.avi,15,15,1,1,13
S008C001P033R002A033_rgb.avi,33,33,1,2,8
S011C001P038R001A049_rgb.avi,38,49,1,1,11
S005C001P017R001A045_rgb.avi,17,45,1,1,5
S002C001P012R002A020_rgb.avi,12,20,1,2,2
S014C001P008R002A025_rgb.avi,8,25,1,2,14
S012C001P017R002A019_rgb.avi,17,19,1,2,12
S014C001P008R001A015_rgb.avi,8,15,1,1,14
S002C001P012R001A010_rgb.avi,12,10,1,1,2
S016C001P025R001A049_rgb.avi,25,49,1,1,16
S012C001P017R001A029_rgb.avi,17,29,1,1,12
S007C001P019R001A026_rgb.avi,19,26,1,1,7
S008C001P008R002A059_rgb.avi,8,59,1,2,8
S007C001P019R002A016_rgb.avi,19,16,1,2,7
S007C001P001R002A043_rgb.avi,1,43,1,2,7
S008C001P029R002A051_rgb.avi,29,51,1,2,8
S013C001P017R001A022_rgb.avi,17,22,1,1,13
S008C001P031R002A004_rgb.avi,31,4,1,2,8
S013C001P007R002A050_rgb.avi,7,50,1,2,13
S005C001P015R002A042_rgb.avi,15,42,1,2,5
S003C001P002R001A059_rgb.avi,2,59,1,1,3
S013C001P007R001A060_rgb.avi,7,60,1,1,13
S013C001P017R002A012_rgb.avi,17,12,1,2,13
S008C001P031R001A034_rgb.avi,31,34,1,1,8
S002C001P010R001A027_rgb.avi,10,27,1,1,2
S006C001P022R001A047_rgb.avi,22,47,1,1,6
S002C001P008R002A042_rgb.avi,8,42,1,2,2
S002C001P010R002A017_rgb.avi,10,17,1,2,2
S016C001P019R002A036_rgb.avi,19,36,1,2,16
S009C001P015R001A025_rgb.avi,15,25,1,1,9
S016C001P019R001A006_rgb.avi,19,6,1,1,16
S009C001P015R002A015_rgb.avi,15,15,1,2,9
S010C001P016R002A048_rgb.avi,16,48,1,2,10
S007C001P016R001A014_rgb.avi,16,14,1,1,7
S007C001P016R002A024_rgb.avi,16,24,1,2,7
S002C001P007R001A040_rgb.avi,7,40,1,1,2
S014C001P015R001A052_rgb.avi,15,52,1,1,14
S013C001P018R001A010_rgb.avi,18,10,1,1,13
S008C001P036R001A011_rgb.avi,36,11,1,1,8
S013C001P008R001A052_rgb.avi,8,52,1,1,13
S013C001P018R002A020_rgb.avi,18,20,1,2,13
S008C001P036R002A021_rgb.avi,36,21,1,2,8
S009C001P017R002A022_rgb.avi,17,22,1,2,9
S009C001P007R001A050_rgb.avi,7,50,1,1,9
S009C001P007R002A060_rgb.avi,7,60,1,2,9
S009C001P017R001A012_rgb.avi,17,12,1,1,9
S001C001P003R001A008_rgb.avi,3,8,1,1,1
S011C001P016R002A043_rgb.avi,16,43,1,2,11
S001C001P003R002A038_rgb.avi,3,38,1,2,1
S012C001P008R001A059_rgb.avi,8,59,1,1,12
S010C001P025R001A005_rgb.avi,25,5,1,1,10
S014C001P007R002A017_rgb.avi,7,17,1,2,14
S014C001P007R001A027_rgb.avi,7,27,1,1,14
S010C001P025R002A035_rgb.avi,25,35,1,2,10
S014C001P017R002A055_rgb.avi,17,55,1,2,14
S011C001P027R001A039_rgb.avi,27,39,1,1,11
S015C001P015R001A059_rgb.avi,15,59,1,1,15
S017C001P020R001A050_rgb.avi,20,50,1,1,17
S008C001P034R002A016_rgb.avi,34,16,1,2,8
S005C001P018R002A047_rgb.avi,18,47,1,2,5
S005C001P010R001A060_rgb.avi,10,60,1,1,5
S003C001P017R001A009_rgb.avi,17,9,1,1,3
S011C001P027R002A009_rgb.avi,27,9,1,2,11
S017C001P020R002A060_rgb.avi,20,60,1,2,17
S008C001P034R001A026_rgb.avi,34,26,1,1,8
S005C001P010R002A050_rgb.avi,10,50,1,2,5
S003C001P017R002A039_rgb.avi,17,39,1,2,3
S007C001P025R002A059_rgb.avi,25,59,1,2,7
S017C001P007R001A001_rgb.avi,7,1,1,1,17
S013C001P025R002A013_rgb.avi,25,13,1,2,13
S001C001P005R001A051_rgb.avi,5,51,1,1,1
S017C001P017R001A043_rgb.avi,17,43,1,1,17
S013C001P025R001A023_rgb.avi,25,23,1,1,13
S017C001P007R002A031_rgb.avi,7,31,1,2,17
S006C001P008R002A023_rgb.avi,8,23,1,2,6
S006C001P008R001A013_rgb.avi,8,13,1,1,6
S003C001P001R002A022_rgb.avi,1,22,1,2,3
S005C001P016R001A039_rgb.avi,16,39,1,1,5
S005C001P016R002A009_rgb.avi,16,9,1,2,5
S003C001P001R001A012_rgb.avi,1,12,1,1,3
S003C001P019R001A047_rgb.avi,19,47,1,1,3
S012C001P016R001A055_rgb.avi,16,55,1,1,12
S001C001P007R002A056_rgb.avi,7,56,1,2,1
S008C001P001R002A032_rgb.avi,1,32,1,2,8
S013C001P027R001A014_rgb.avi,27,14,1,1,13
S007C001P008R001A018_rgb.avi,8,18,1,1,7
S008C001P019R001A057_rgb.avi,19,57,1,1,8
S007C001P008R002A028_rgb.avi,8,28,1,2,7
S013C001P037R001A056_rgb.avi,37,56,1,1,13
S008C001P001R001A002_rgb.avi,1,2,1,1,8
S013C001P027R002A024_rgb.avi,27,24,1,2,13
S017C001P015R002A044_rgb.avi,15,44,1,2,17
S012C001P025R001A028_rgb.avi,25,28,1,1,12
S010C001P018R002A006_rgb.avi,18,6,1,2,10
S012C001P025R002A018_rgb.avi,25,18,1,2,12
S010C001P018R001A036_rgb.avi,18,36,1,1,10
S010C001P008R002A044_rgb.avi,8,44,1,2,10
S008C001P030R001A048_rgb.avi,30,48,1,1,8
S015C001P019R001A020_rgb.avi,19,20,1,1,15
S015C001P019R002A010_rgb.avi,19,10,1,2,15
S014C001P017R002A051_rgb.avi,17,51,1,2,14
S010C001P025R002A031_rgb.avi,25,31,1,2,10
S014C001P007R001A023_rgb.avi,7,23,1,1,14
S014C001P007R002A013_rgb.avi,7,13,1,2,14
S010C001P025R001A001_rgb.avi,25,1,1,1,10
S008C001P034R001A022_rgb.avi,34,22,1,1,8
S005C001P010R002A054_rgb.avi,10,54,1,2,5
S008C001P034R002A012_rgb.avi,34,12,1,2,8
S005C001P018R002A043_rgb.avi,18,43,1,2,5
S017C001P020R001A054_rgb.avi,20,54,1,1,17
S009C001P017R001A016_rgb.avi,17,16,1,1,9
S009C001P007R001A054_rgb.avi,7,54,1,1,9
