video_id,subject,action,camera,repetition,setup
S012C002P018R001A028_rgb.avi,18,28,2,1,12
S014C001P025R002A054_rgb.avi,25,54,1,2,14
S010C001P017R002A034_rgb.avi,17,34,1,2,10
S011C003P016R001A001_rgb.avi,16,1,3,1,11
S010C002P025R002A006_rgb.avi,25,6,2,2,10
S016C001P008R002A008_rgb.avi,8,8,1,2,16
S010C001P017R001A004_rgb.avi,17,4,1,1,10
S012C002P018R002A018_rgb.avi,18,18,2,2,12
S010C002P025R001A036_rgb.avi,25,36,2,1,10
S014C002P017R001A056_rgb.avi,17,56,2,1,14
S016C001P008R001A038_rgb.avi,8,38,1,1,16
S006C001P015R001A054_rgb.avi,15,54,1,1,6
S011C003P016R002A031_rgb.avi,16,31,3,2,11
S013C001P028R001A026_rgb.avi,28,26,1,1,13
S007C001P017R002A058_rgb.avi,17,58,1,2,7
S009C003P017R001A060_rgb.avi,17,60,3,1,9
S008C002P034R001A015_rgb.avi,34,15,2,1,8
S005C002P018R001A044_rgb.avi,18,44,2,1,5
S011C001P015R002A008_rgb.avi,15,8,1,2,11
S009C003P017R002A050_rgb.avi,17,50,3,2,9
S008C002P034R002A025_rgb.avi,34,25,2,2,8
S013C001P028R002A016_rgb.avi,28,16,1,2,13
S011C001P015R001A038_rgb.avi,15,38,1,1,11
S001C001P008R001A054_rgb.avi,8,54,1,1,1
S009C002P017R001A021_rgb.avi,17,21,2,1,9
S005C003P018R001A005_rgb.avi,18,5,3,1,5
S008C003P034R001A054_rgb.avi,34,54,3,1,8
S009C001P025R001A013_rgb.avi,25,13,1,1,9
S009C002P017R002A011_rgb.avi,17,11,2,2,9
S005C003P018R002A035_rgb.avi,18,35,3,2,5
S009C001P025R002A023_rgb.avi,25,23,1,2,9
S015C001P016R001A012_rgb.avi,16,12,1,1,15
S011C002P016R001A040_rgb.avi,16,40,2,1,11
S014C003P017R002A027_rgb.avi,17,27,3,2,14
S010C003P025R002A047_rgb.avi,25,47,3,2,10
S015C001P016R002A022_rgb.avi,16,22,1,2,15
S012C003P018R002A059_rgb.avi,18,59,3,2,12
S014C003P017R001A017_rgb.avi,17,17,3,1,14
S007C003P016R002A056_rgb.avi,16,56,3,2,7
S010C001P015R001A033_rgb.avi,15,33,1,1,10
S014C001P027R001A053_rgb.avi,27,53,1,1,14
S006C001P017R002A053_rgb.avi,17,53,1,2,6
S014C002P015R002A051_rgb.avi,15,51,2,2,14
S010C001P015R002A003_rgb.avi,15,3,1,2,10
S013C002P018R002A013_rgb.avi,18,13,2,2,13
S017C001P008R001A033_rgb.avi,8,33,1,1,17
S001C001P002R002A044_rgb.avi,2,44,1,2,1
S013C002P018R001A023_rgb.avi,18,23,2,1,13
S013C002P008R002A051_rgb.avi,8,51,2,2,13
S016C003P019R002A044_rgb.avi,19,44,3,2,16
S017C001P008R002A003_rgb.avi,8,3,1,2,17
S009C003P015R001A057_rgb.avi,15,57,3,1,9
S013C003P008R001A020_rgb.avi,8,20,3,1,13
S016C002P019R001A035_rgb.avi,19,35,2,1,16
S013C003P018R002A052_rgb.avi,18,52,3,2,13
S009C002P015R002A026_rgb.avi,15,26,2,2,9
S013C003P008R002A010_rgb.avi,8,10,3,2,13
S016C002P019R002A005_rgb.avi,19,5,2,2,16
S012C001P019R002A057_rgb.avi,19,57,1,2,12
S009C002P015R001A016_rgb.avi,15,16,2,1,9
S002C001P014R001A049_rgb.avi,14,49,1,1,2
S003C001P016R002A045_rgb.avi,16,45,1,2,3
S014C003P015R001A020_rgb.avi,15,20,3,1,14
S008C001P025R002A028_rgb.avi,25,28,1,2,8
S007C002P016R002A017_rgb.avi,16,17,2,2,7
S014C003P015R002A010_rgb.avi,15,10,3,2,14
S008C001P025R001A018_rgb.avi,25,18,1,1,8
S007C002P016R001A027_rgb.avi,16,27,2,1,7
S010C003P018R001A044_rgb.avi,18,44,3,1,10
S010C003P008R002A036_rgb.avi,8,36,3,2,10
S011C001P001R002A024_rgb.avi,1,24,1,2,11
S015C002P019R002A023_rgb.avi,19,23,2,2,15
S011C001P019R001A041_rgb.avi,19,41,1,1,11
S010C003P008R001A006_rgb.avi,8,6,3,1,10
S011C001P001R001A014_rgb.avi,1,14,1,1,11
S015C002P019R001A013_rgb.avi,19,13,2,1,15
S008C003P019R001A025_rgb.avi,19,25,3,1,8
S006C001P001R002A048_rgb.avi,1,48,1,2,6
S007C003P018R001A028_rgb.avi,18,28,3,1,7
S017C003P015R002A036_rgb.avi,15,36,3,2,17
S013C003P027R002A056_rgb.avi,27,56,3,2,13
S008C003P019R002A015_rgb.avi,19,15,3,2,8
S007C003P018R002A018_rgb.avi,18,18,3,2,7
S009C001P008R002A052_rgb.avi,8,52,1,2,9
S017C003P015R001A006_rgb.avi,15,6,3,1,17
S008C003P001R002A040_rgb.avi,1,40,3,2,8
S003C001P008R002A049_rgb.avi,8,49,1,2,3
S013C001P015R002A025_rgb.avi,15,25,1,2,13
S008C002P001R001A031_rgb.avi,1,31,2,1,8
S013C002P027R002A017_rgb.avi,27,17,2,2,13
S013C001P015R001A015_rgb.avi,15,15,1,1,13
S008C002P019R002A054_rgb.avi,19,54,2,2,8
S008C002P001R002A001_rgb.avi,1,1,2,2,8
S013C002P027R001A027_rgb.avi,27,27,2,1,13
S017C002P015R001A047_rgb.avi,15,47,2,1,17
S007C002P018R002A059_rgb.avi,18,59,2,2,7
S011C001P038R001A049_rgb.avi,38,49,1,1,11
S005C001P017R001A045_rgb.avi,17,45,1,1,5
S014C001P008R002A025_rgb.avi,8,25,1,2,14
S010C002P018R001A005_rgb.avi,18,5,2,1,10
S012C001P017R002A019_rgb.avi,17,19,1,2,12
S014C001P008R001A015_rgb.avi,8,15,1,1,14
S016C001P025R001A049_rgb.avi,25,49,1,1,16
S012C001P017R001A029_rgb.avi,17,29,1,1,12
S010C002P008R001A047_rgb.avi,8,47,2,1,10
S015C003P019R001A052_rgb.avi,19,52,3,1,15
S010C002P018R002A035_rgb.avi,18,35,2,2,10
S003C002P001R001A021_rgb.avi,1,21,2,1,3
S007C001P019R001A026_rgb.avi,19,26,1,1,7
S008C001P008R002A059_rgb.avi,8,59,1,2,8
S003C002P001R002A011_rgb.avi,1,11,2,2,3
S007C001P019R002A016_rgb.avi,19,16,1,2,7
S003C002P019R002A044_rgb.avi,19,44,2,2,3
S007C001P001R002A043_rgb.avi,1,43,1,2,7
S006C003P008R002A051_rgb.avi,8,51,3,2,6
S013C003P025R001A051_rgb.avi,25,51,3,1,13
S017C003P017R001A031_rgb.avi,17,31,3,1,17
S012C002P016R002A056_rgb.avi,16,56,2,2,12
S014C002P019R001A018_rgb.avi,19,18,2,1,14
S001C003P005R002A013_rgb.avi,5,13,3,2,1
S017C003P017R002A001_rgb.avi,17,1,3,2,17
S014C002P019R002A028_rgb.avi,19,28,2,2,14
S001C003P005R001A023_rgb.avi,5,23,3,1,1
S013C002P025R001A010_rgb.avi,25,10,2,1,13
S012C003P016R002A017_rgb.avi,16,17,3,2,12
S013C001P017R001A022_rgb.avi,17,22,1,1,13
S001C002P005R002A052_rgb.avi,5,52,2,2,1
S008C001P031R002A004_rgb.avi,31,4,1,2,8
S014C003P019R001A059_rgb.avi,19,59,3,1,14
S005C001P015R002A042_rgb.avi,15,42,1,2,5
S012C003P016R001A027_rgb.avi,16,27,3,1,12
S017C002P017R002A040_rgb.avi,17,40,2,2,17
S013C002P025R002A020_rgb.avi,25,20,2,2,13
S003C001P002R001A059_rgb.avi,2,59,1,1,3
S013C001P017R002A012_rgb.avi,17,12,1,2,13
S008C001P031R001A034_rgb.avi,31,34,1,1,8
S003C003P001R001A060_rgb.avi,1,60,3,1,3
S003C003P019R001A035_rgb.avi,19,35,3,1,3
S006C002P008R001A020_rgb.avi,8,20,2,1,6
S003C003P001R002A050_rgb.avi,1,50,3,2,3
S002C001P008R002A042_rgb.avi,8,42,1,2,2
S003C003P019R002A005_rgb.avi,19,5,3,2,3
S006C002P008R002A010_rgb.avi,8,10,2,2,6
S016C001P019R002A036_rgb.avi,19,36,1,2,16
S001C003P002R001A006_rgb.avi,2,6,3,1,1
S009C001P015R001A025_rgb.avi,15,25,1,1,9
S016C001P019R001A006_rgb.avi,19,6,1,1,16
S001C003P002R002A036_rgb.avi,2,36,3,2,1
S017C003P008R001A041_rgb.avi,8,41,3,1,17
S012C002P019R001A054_rgb.avi,19,54,2,1,12
S009C001P015R002A015_rgb.avi,15,15,1,2,9
S010C001P016R002A048_rgb.avi,16,48,1,2,10
S006C003P017R002A021_rgb.avi,17,21,3,2,6
S003C002P016R001A046_rgb.avi,16,46,2,1,3
S008C002P035R002A059_rgb.avi,35,59,2,2,8
S007C001P016R001A014_rgb.avi,16,14,1,1,7
S014C003P027R002A011_rgb.avi,27,11,3,2,14
S006C003P017R001A011_rgb.avi,17,11,3,1,6
S007C001P016R002A024_rgb.avi,16,24,1,2,7
S014C003P027R001A021_rgb.avi,27,21,3,1,14
S010C003P015R001A041_rgb.avi,15,41,3,1,10
S006C002P017R002A060_rgb.avi,17,60,2,2,6
S003C003P016R001A007_rgb.avi,16,7,3,1,3
S008C003P035R002A018_rgb.avi,35,18,3,2,8
S010C002P015R002A030_rgb.avi,15,30,2,2,10
S014C002P027R002A050_rgb.avi,27,50,2,2,14
S003C003P016R002A037_rgb.avi,16,37,3,2,3
S014C001P015R001A052_rgb.avi,15,52,1,1,14
S006C002P017R001A050_rgb.avi,17,50,2,1,6
S014C002P027R001A060_rgb.avi,27,60,2,1,14
S008C003P035R001A028_rgb.avi,35,28,3,1,8
S013C001P018R001A010_rgb.avi,18,10,1,1,13
S017C002P008R002A030_rgb.avi,8,30,2,2,17
S001C002P002R001A047_rgb.avi,2,47,2,1,1
S012C003P019R002A025_rgb.avi,19,25,3,2,12
S013C001P008R001A052_rgb.avi,8,52,1,1,13
S013C001P018R002A020_rgb.avi,18,20,1,2,13
S012C003P019R001A015_rgb.avi,19,15,3,1,12
S009C001P017R002A022_rgb.avi,17,22,1,2,9
S009C002P025R002A010_rgb.avi,25,10,2,2,9
S001C003P008R001A026_rgb.avi,8,26,3,1,1
S013C003P028R001A054_rgb.avi,28,54,3,1,13
S009C001P017R001A012_rgb.avi,17,12,1,1,9
S001C003P008R002A016_rgb.avi,8,16,3,2,1
S009C002P025R001A020_rgb.avi,25,20,2,1,9
S014C003P025R001A016_rgb.avi,25,16,3,1,14
S015C002P016R002A011_rgb.avi,16,11,2,2,15
S005C002P013R002A028_rgb.avi,13,28,2,2,5
S006C003P015R001A026_rgb.avi,15,26,3,1,6
S011C001P016R002A043_rgb.avi,16,43,1,2,11
S015C002P016R001A021_rgb.avi,16,21,2,1,15
S010C003P017R002A046_rgb.avi,17,46,3,2,10
S014C003P025R002A026_rgb.avi,25,26,3,2,14
S006C003P015R002A016_rgb.avi,15,16,3,2,6
S005C002P013R001A018_rgb.avi,13,18,2,1,5
S014C002P025R001A057_rgb.avi,25,57,2,1,14
S010C002P017R001A037_rgb.avi,17,37,2,1,10
S012C001P008R001A059_rgb.avi,8,59,1,1,12
S015C003P016R002A050_rgb.avi,16,50,3,2,15
S010C001P025R001A005_rgb.avi,25,5,1,1,10
S015C003P016R001A060_rgb.avi,16,60,3,1,15
S010C002P017R002A007_rgb.avi,17,7,2,2,10
S006C002P015R002A057_rgb.avi,15,57,2,2,6
S010C001P025R002A035_rgb.avi,25,35,1,2,10
S014C001P017R002A055_rgb.avi,17,55,1,2,14
S005C003P013R001A059_rgb.avi,13,59,3,1,5
S011C001P027R001A039_rgb.avi,27,39,1,1,11
S015C001P015R001A059_rgb.avi,15,59,1,1,15
S008C001P034R002A016_rgb.avi,34,16,1,2,8
S005C001P018R002A047_rgb.avi,18,47,1,2,5
S013C002P028R002A025_rgb.avi,28,25,2,2,13
S009C003P025R002A051_rgb.avi,25,51,3,2,9
S003C001P017R001A009_rgb.avi,17,9,1,1,3
S013C002P028R001A015_rgb.avi,28,15,2,1,13
S011C001P027R002A009_rgb.avi,27,9,1,2,11
S008C001P034R001A026_rgb.avi,34,26,1,1,8
S001C002P008R002A057_rgb.avi,8,57,2,2,1
S003C001P017R002A039_rgb.avi,17,39,1,2,3
S007C001P025R002A059_rgb.avi,25,59,1,2,7
S013C001P025R002A013_rgb.avi,25,13,1,2,13
S010C003P019R002A008_rgb.avi,19,8,3,2,10
S013C002P017R002A021_rgb.avi,17,21,2,2,13
S008C002P031R001A007_rgb.avi,31,7,2,1,8
S001C001P005R001A051_rgb.avi,5,51,1,1,1
S017C001P017R001A043_rgb.avi,17,43,1,1,17
S013C001P025R001A023_rgb.avi,25,23,1,1,13
S010C003P019R001A038_rgb.avi,19,38,3,1,10
S005C002P015R001A041_rgb.avi,15,41,2,1,5
S013C002P017R001A011_rgb.avi,17,11,2,1,13
S008C002P031R002A037_rgb.avi,31,37,2,2,8
S007C003P001R002A031_rgb.avi,1,31,3,2,7
S006C001P008R002A023_rgb.avi,8,23,1,2,6
S007C003P019R001A054_rgb.avi,19,54,3,1,7
S002C002P008R001A041_rgb.avi,8,41,2,1,2
S007C003P001R001A001_rgb.avi,1,1,3,1,7
S006C001P008R001A013_rgb.avi,8,13,1,1,6
S003C001P001R002A022_rgb.avi,1,22,1,2,3
S007C002P019R002A025_rgb.avi,19,25,2,2,7
S002C003P008R002A030_rgb.avi,8,30,3,2,2
S005C001P016R001A039_rgb.avi,16,39,1,1,5
S005C001P016R002A009_rgb.avi,16,9,1,2,5
S003C001P001R001A012_rgb.avi,1,12,1,1,3
S007C002P019R001A015_rgb.avi,19,15,2,1,7
S003C001P019R001A047_rgb.avi,19,47,1,1,3
S007C002P001R001A040_rgb.avi,1,40,2,1,7
S005C003P015R002A030_rgb.avi,15,30,3,2,5
S012C001P016R001A055_rgb.avi,16,55,1,1,12
S010C002P019R002A049_rgb.avi,19,49,2,2,10
S008C003P031R001A046_rgb.avi,31,46,3,1,8
S013C003P017R002A060_rgb.avi,17,60,3,2,13
S013C003P017R001A050_rgb.avi,17,50,3,1,13
S013C002P015R001A026_rgb.avi,15,26,2,1,13
S003C002P018R002A038_rgb.avi,18,38,2,2,3
S010C003P013R002A028_rgb.avi,13,28,3,2,10
S009C003P008R002A020_rgb.avi,8,20,3,2,9
S008C001P001R002A032_rgb.avi,1,32,1,2,8
S013C001P027R001A014_rgb.avi,27,14,1,1,13
S007C001P008R001A018_rgb.avi,8,18,1,1,7
S011C002P028R002A008_rgb.avi,28,8,2,2,11
S010C003P013R001A018_rgb.avi,13,18,3,1,10
S013C002P015R002A016_rgb.avi,15,16,2,2,13
S008C001P019R001A057_rgb.avi,19,57,1,1,8
S003C002P018R001A008_rgb.avi,18,8,2,1,3
S007C001P008R002A028_rgb.avi,8,28,1,2,7
