video_id,subject,action,camera,repetition,setup
S012C002P018R001A028_rgb.avi,18,28,2,1,12
S005C003P021R001A058_rgb.avi,21,58,3,1,5
S014C002P007R001A014_rgb.avi,7,14,2,1,14
S011C003P016R001A001_rgb.avi,16,1,3,1,11
S010C002P025R002A006_rgb.avi,25,6,2,2,10
S012C002P018R002A018_rgb.avi,18,18,2,2,12
S010C002P025R001A036_rgb.avi,25,36,2,1,10
S014C002P017R001A056_rgb.avi,17,56,2,1,14
S014C002P007R002A024_rgb.avi,7,24,2,2,14
S011C003P016R002A031_rgb.avi,16,31,3,2,11
S009C003P007R002A012_rgb.avi,7,12,3,2,9
S009C003P017R001A060_rgb.avi,17,60,3,1,9
S017C002P020R002A053_rgb.avi,20,53,2,2,17
S008C002P034R001A015_rgb.avi,34,15,2,1,8
S005C002P018R001A044_rgb.avi,18,44,2,1,5
S009C003P017R002A050_rgb.avi,17,50,3,2,9
S008C002P034R002A025_rgb.avi,34,25,2,2,8
S009C003P007R001A022_rgb.avi,7,22,3,1,9
S003C002P007R002A048_rgb.avi,7,48,2,2,3
S005C002P010R001A053_rgb.avi,10,53,2,1,5
S009C002P007R002A053_rgb.avi,7,53,2,2,9
S009C002P017R001A021_rgb.avi,17,21,2,1,9
S005C003P018R001A005_rgb.avi,18,5,3,1,5
S008C003P034R001A054_rgb.avi,34,54,3,1,8
S017C003P020R002A012_rgb.avi,20,12,3,2,17
S005C003P010R002A022_rgb.avi,10,22,3,2,5
S003C003P007R001A039_rgb.avi,7,39,3,1,3
S009C002P017R002A011_rgb.avi,17,11,2,2,9
S005C003P018R002A035_rgb.avi,18,35,3,2,5
S017C003P020R001A022_rgb.avi,20,22,3,1,17
S003C003P007R002A009_rgb.avi,7,9,3,2,3
S005C003P010R001A012_rgb.avi,10,12,3,1,5
S005C002P021R001A019_rgb.avi,21,19,2,1,5
S014C003P007R001A055_rgb.avi,7,55,3,1,14
S011C002P016R001A040_rgb.avi,16,40,2,1,11
S014C003P017R002A027_rgb.avi,17,27,3,2,14
S010C003P025R002A047_rgb.avi,25,47,3,2,10
S005C002P021R002A029_rgb.avi,21,29,2,2,5
S012C003P018R002A059_rgb.avi,18,59,3,2,12
S014C003P017R001A017_rgb.avi,17,17,3,1,14
S008C003P007R001A029_rgb.avi,7,29,3,1,8
S007C003P016R002A056_rgb.avi,16,56,3,2,7
S002C002P007R002A043_rgb.avi,7,43,2,2,2
S008C003P007R002A019_rgb.avi,7,19,3,2,8
S014C002P015R002A051_rgb.avi,15,51,2,2,14
S013C002P018R002A013_rgb.avi,18,13,2,2,13
S008C002P036R002A012_rgb.avi,36,12,2,2,8
S013C002P018R001A023_rgb.avi,18,23,2,1,13
S013C002P008R002A051_rgb.avi,8,51,2,2,13
S016C003P019R002A044_rgb.avi,19,44,3,2,16
S008C002P036R001A022_rgb.avi,36,22,2,1,8
S009C003P015R001A057_rgb.avi,15,57,3,1,9
S013C003P008R001A020_rgb.avi,8,20,3,1,13
S016C002P019R001A035_rgb.avi,19,35,2,1,16
S013C003P018R002A052_rgb.avi,18,52,3,2,13
S008C003P036R002A053_rgb.avi,36,53,3,2,8
S009C002P015R002A026_rgb.avi,15,26,2,2,9
S013C003P008R002A010_rgb.avi,8,10,3,2,13
S016C002P019R002A005_rgb.avi,19,5,2,2,16
S009C002P015R001A016_rgb.avi,15,16,2,1,9
S014C003P015R001A020_rgb.avi,15,20,3,1,14
S007C002P016R002A017_rgb.avi,16,17,2,2,7
S002C003P007R002A002_rgb.avi,7,2,3,2,2
S008C002P007R002A058_rgb.avi,7,58,2,2,8
S014C003P015R002A010_rgb.avi,15,10,3,2,14
S007C002P016R001A027_rgb.avi,16,27,2,1,7
S002C003P007R001A032_rgb.avi,7,32,3,1,2
S010C003P018R001A044_rgb.avi,18,44,3,1,10
S010C003P008R002A036_rgb.avi,8,36,3,2,10
S015C002P019R002A023_rgb.avi,19,23,2,2,15
S016C003P007R002A048_rgb.avi,7,48,3,2,16
S010C003P008R001A006_rgb.avi,8,6,3,1,10
S015C002P019R001A013_rgb.avi,19,13,2,1,15
S006C002P023R001A008_rgb.avi,23,8,2,1,6
S008C003P019R001A025_rgb.avi,19,25,3,1,8
S001C003P007R001A014_rgb.avi,7,14,3,1,1
S013C003P037R001A024_rgb.avi,37,24,3,1,13
S010C002P021R001A058_rgb.avi,21,58,2,1,10
S007C003P018R001A028_rgb.avi,18,28,3,1,7
S017C003P015R002A036_rgb.avi,15,36,3,2,17
S013C003P027R002A056_rgb.avi,27,56,3,2,13
S002C002P011R002A058_rgb.avi,11,58,2,2,2
S006C002P023R002A038_rgb.avi,23,38,2,2,6
S001C003P007R002A024_rgb.avi,7,24,3,2,1
S008C003P019R002A015_rgb.avi,19,15,3,2,8
S007C003P018R002A018_rgb.avi,18,18,3,2,7
S017C003P015R001A006_rgb.avi,15,6,3,1,17
S008C003P001R002A040_rgb.avi,1,40,3,2,8
S013C003P037R002A014_rgb.avi,37,14,3,2,13
S001C002P007R001A055_rgb.avi,7,55,2,1,1
S006C003P023R001A049_rgb.avi,23,49,3,1,6
S002C003P011R001A029_rgb.avi,11,29,3,1,2
S010C003P021R001A019_rgb.avi,21,19,3,1,10
S008C002P001R001A031_rgb.avi,1,31,2,1,8
S013C002P027R002A017_rgb.avi,27,17,2,2,13
S008C002P019R002A054_rgb.avi,19,54,2,2,8
S002C003P011R002A019_rgb.avi,11,19,3,2,2
S008C002P001R002A001_rgb.avi,1,1,2,2,8
S013C002P027R001A027_rgb.avi,27,27,2,1,13
S017C002P015R001A047_rgb.avi,15,47,2,1,17
S007C002P018R002A059_rgb.avi,18,59,2,2,7
S010C003P021R002A029_rgb.avi,21,29,3,2,10
S013C002P037R002A055_rgb.avi,37,55,2,2,13
S016C002P007R001A039_rgb.avi,7,39,2,1,16
S010C002P018R001A005_rgb.avi,18,5,2,1,10
S016C002P007R002A009_rgb.avi,7,9,2,2,16
S010C002P008R001A047_rgb.avi,8,47,2,1,10
S015C003P019R001A052_rgb.avi,19,52,3,1,15
S010C002P018R002A035_rgb.avi,18,35,2,2,10
S003C002P001R001A021_rgb.avi,1,21,2,1,3
S003C002P001R002A011_rgb.avi,1,11,2,2,3
S003C002P019R002A044_rgb.avi,19,44,2,2,3
S006C003P008R002A051_rgb.avi,8,51,3,2,6
S013C003P025R001A051_rgb.avi,25,51,3,1,13
S017C003P017R001A031_rgb.avi,17,31,3,1,17
S017C003P007R002A043_rgb.avi,7,43,3,2,17
S012C002P016R002A056_rgb.avi,16,56,2,2,12
S014C002P019R001A018_rgb.avi,19,18,2,1,14
S001C003P005R002A013_rgb.avi,5,13,3,2,1
S017C003P017R002A001_rgb.avi,17,1,3,2,17
S014C002P019R002A028_rgb.avi,19,28,2,2,14
S001C003P005R001A023_rgb.avi,5,23,3,1,1
S013C002P025R001A010_rgb.avi,25,10,2,1,13
S017C002P007R002A002_rgb.avi,7,2,2,2,17
S012C003P016R002A017_rgb.avi,16,17,3,2,12
S001C002P005R002A052_rgb.avi,5,52,2,2,1
