video_id,subject,action,camera,repetition,setup
S028C003P087R002A073_rgb.avi,87,73,3,2,28
S010C001P007R001A046_rgb.avi,7,46,1,1,10
S028C003P073R002A113_rgb.avi,73,113,3,2,28
S016C001P040R001A033_rgb.avi,40,33,1,1,16
S005C003P021R001A058_rgb.avi,21,58,3,1,5
S026C002P075R001A066_rgb.avi,75,66,2,1,26
S014C002P007R001A014_rgb.avi,7,14,2,1,14
S023C003P064R001A073_rgb.avi,64,73,3,1,23
S026C002P041R001A119_rgb.avi,41,119,2,1,26
S022C001P065R001A076_rgb.avi,65,76,1,1,22
S016C001P040R002A003_rgb.avi,40,3,1,2,16
S030C002P067R001A074_rgb.avi,67,74,2,1,30
S029C003P075R002A096_rgb.avi,75,96,3,2,29
S029C001P006R002A075_rgb.avi,6,75,1,2,29
S014C002P007R002A024_rgb.avi,7,24,2,2,14
S029C002P048R001A103_rgb.avi,48,103,2,1,29
S009C003P007R002A012_rgb.avi,7,12,3,2,9
S017C002P020R002A053_rgb.avi,20,53,2,2,17
S022C002P067R001A082_rgb.avi,67,82,2,1,22
S031C002P051R002A107_rgb.avi,51,107,2,2,31
S027C002P043R002A115_rgb.avi,43,115,2,2,27
S021C002P060R001A071_rgb.avi,60,71,2,1,21
S009C003P007R001A022_rgb.avi,7,22,3,1,9
S026C001P077R001A092_rgb.avi,77,92,1,1,26
S027C001P079R001A100_rgb.avi,79,100,1,1,27
S023C002P061R001A107_rgb.avi,61,107,2,1,23
S003C002P007R002A048_rgb.avi,7,48,2,2,3
S028C002P042R002A118_rgb.avi,42,118,2,2,28
S005C002P010R001A053_rgb.avi,10,53,2,1,5
S032C001P041R002A077_rgb.avi,41,77,1,2,32
S024C002P061R001A067_rgb.avi,61,67,2,1,24
S009C002P007R002A053_rgb.avi,7,53,2,2,9
S032C001P106R002A118_rgb.avi,106,118,1,2,32
S020C002P043R002A075_rgb.avi,43,75,2,2,20
S017C003P020R002A012_rgb.avi,20,12,3,2,17
S016C001P021R001A027_rgb.avi,21,27,1,1,16
S019C002P042R002A076_rgb.avi,42,76,2,2,19
S005C003P010R002A022_rgb.avi,10,22,3,2,5
S003C003P007R001A039_rgb.avi,7,39,3,1,3
S017C003P020R001A022_rgb.avi,20,22,3,1,17
S016C001P039R002A042_rgb.avi,39,42,1,2,16
S029C001P067R002A061_rgb.avi,67,61,1,2,29
S030C001P088R002A109_rgb.avi,88,109,1,2,30
S031C001P006R002A098_rgb.avi,6,98,1,2,31
S003C003P007R002A009_rgb.avi,7,9,3,2,3
S030C001P048R002A116_rgb.avi,48,116,1,2,30
S016C001P021R002A017_rgb.avi,21,17,1,2,16
S031C003P041R002A104_rgb.avi,41,104,3,2,31
S005C003P010R001A012_rgb.avi,10,12,3,1,5
S031C002P044R002A070_rgb.avi,44,70,2,2,31
S030C003P043R001A108_rgb.avi,43,108,3,1,30
S030C001P044R001A088_rgb.avi,44,88,1,1,30
S005C002P021R001A019_rgb.avi,21,19,2,1,5
S032C001P102R001A091_rgb.avi,102,91,1,1,32
S032C003P105R001A111_rgb.avi,105,111,3,1,32
S025C001P065R001A116_rgb.avi,65,116,1,1,25
S014C003P007R001A055_rgb.avi,7,55,3,1,14
S018C003P041R002A087_rgb.avi,41,87,3,2,18
S019C001P048R002A095_rgb.avi,48,95,1,2,19
S007C001P026R001A022_rgb.avi,26,22,1,1,7
S005C002P021R002A029_rgb.avi,21,29,2,2,5
S029C003P090R001A108_rgb.avi,90,108,3,1,29
S020C001P041R002A081_rgb.avi,41,81,1,2,20
S007C001P026R002A012_rgb.avi,26,12,1,2,7
S024C003P064R001A113_rgb.avi,64,113,3,1,24
S024C001P063R001A093_rgb.avi,63,93,1,1,24
S032C002P043R002A083_rgb.avi,43,83,2,2,32
S021C001P060R002A082_rgb.avi,60,82,1,2,21
S027C003P044R001A066_rgb.avi,44,66,3,1,27
S006C001P007R002A011_rgb.avi,7,11,1,2,6
S008C003P007R001A029_rgb.avi,7,29,3,1,8
S023C003P066R002A074_rgb.avi,66,74,3,2,23
S026C002P077R002A061_rgb.avi,77,61,2,2,26
S002C002P007R002A043_rgb.avi,7,43,2,2,2
S030C002P011R001A120_rgb.avi,11,120,2,1,30
S014C001P037R002A021_rgb.avi,37,21,1,2,14
S008C003P007R002A019_rgb.avi,7,19,3,2,8
S006C001P007R001A021_rgb.avi,7,21,1,1,6
S030C002P011R002A110_rgb.avi,11,110,2,2,30
S014C001P037R001A011_rgb.avi,37,11,1,1,14
S022C001P067R002A071_rgb.avi,67,71,1,2,22
S023C002P067R001A089_rgb.avi,67,89,2,1,23
S022C002P065R002A085_rgb.avi,65,85,2,2,22
S030C001P067R002A087_rgb.avi,67,87,1,2,30
S029C002P006R001A086_rgb.avi,6,86,2,1,29
S008C002P036R002A012_rgb.avi,36,12,2,2,8
S028C002P048R001A108_rgb.avi,48,108,2,1,28
S023C002P063R002A100_rgb.avi,63,100,2,2,23
S026C001P075R002A095_rgb.avi,75,95,1,2,26
S026C003P072R002A115_rgb.avi,72,115,3,2,26
S022C003P064R001A078_rgb.avi,64,78,3,1,22
S027C002P041R001A112_rgb.avi,41,112,2,1,27
S008C002P036R001A022_rgb.avi,36,22,2,1,8
S008C003P036R002A053_rgb.avi,36,53,3,2,8
S020C002P041R001A072_rgb.avi,41,72,2,1,20
S030C001P076R001A079_rgb.avi,76,79,1,1,30
S032C001P043R001A070_rgb.avi,43,70,1,1,32
S031C003P043R001A103_rgb.avi,43,103,3,1,31
S031C001P044R001A083_rgb.avi,44,83,1,1,31
S032C002P102R002A062_rgb.avi,102,62,2,2,32
S004C001P003R002A052_rgb.avi,3,52,1,2,4
S019C002P048R001A066_rgb.avi,48,66,2,1,19
S029C001P051R001A119_rgb.avi,51,119,1,1,29
S018C001P044R001A100_rgb.avi,44,100,1,1,18
S018C003P043R001A080_rgb.avi,43,80,3,1,18
S029C002P067R001A092_rgb.avi,67,92,2,1,29
S002C003P007R002A002_rgb.avi,7,2,3,2,2
S030C003P075R002A070_rgb.avi,75,70,3,2,30
S031C002P101R001A118_rgb.avi,101,118,2,1,31
S025C003P068R002A086_rgb.avi,68,86,3,2,25
S024C001P061R002A094_rgb.avi,61,94,1,2,24
S032C002P041R001A084_rgb.avi,41,84,2,1,32
S008C002P007R002A058_rgb.avi,7,58,2,2,8
S020C003P044R001A106_rgb.avi,44,106,3,1,20
S020C001P043R001A086_rgb.avi,43,86,1,1,20
S019C001P042R001A085_rgb.avi,42,85,1,1,19
S002C003P007R001A032_rgb.avi,7,32,3,1,2
S031C001P043R002A066_rgb.avi,43,66,1,2,31
S032C002P105R001A087_rgb.avi,105,87,2,1,32
S018C002P041R002A111_rgb.avi,41,111,2,2,18
S016C003P007R002A048_rgb.avi,7,48,3,2,16
S027C001P011R002A068_rgb.avi,11,68,1,2,27
S024C002P064R001A085_rgb.avi,64,85,2,1,24
S032C001P044R002A095_rgb.avi,44,95,1,2,32
S032C003P043R002A115_rgb.avi,43,115,3,2,32
S025C002P066R002A089_rgb.avi,66,89,2,2,25
S006C002P023R001A008_rgb.avi,23,8,2,1,6
S020C001P044R002A063_rgb.avi,44,63,1,2,20
S001C003P007R001A014_rgb.avi,7,14,3,1,1
S013C003P037R001A024_rgb.avi,37,24,3,1,13
S010C002P021R001A058_rgb.avi,21,58,2,1,10
S002C002P011R002A058_rgb.avi,11,58,2,2,2
S006C002P023R002A038_rgb.avi,23,38,2,2,6
S018C003P044R002A065_rgb.avi,44,65,3,2,18
S001C003P007R002A024_rgb.avi,7,24,3,2,1
S030C001P075R001A115_rgb.avi,75,115,1,1,30
S013C003P037R002A014_rgb.avi,37,14,3,2,13
S031C002P041R002A092_rgb.avi,41,92,2,2,31
S028C002P043R001A073_rgb.avi,43,73,2,1,28
S001C002P007R001A055_rgb.avi,7,55,2,1,1
