video_id,subject,action,camera,repetition,setup
S005C003P021R001A058_rgb.avi,21,58,3,1,5
S011C003P016R001A001_rgb.avi,16,1,3,1,11
S021C002P058R002A090_rgb.avi,58,90,2,2,21
S023C003P064R001A073_rgb.avi,64,73,3,1,23
S029C003P075R002A096_rgb.avi,75,96,3,2,29
S029C001P006R002A075_rgb.avi,6,75,1,2,29
S029C002P048R001A103_rgb.avi,48,103,2,1,29
S011C003P016R002A031_rgb.avi,16,31,3,2,11
S009C003P007R002A012_rgb.avi,7,12,3,2,9
S013C001P028R001A026_rgb.avi,28,26,1,1,13
S007C001P017R002A058_rgb.avi,17,58,1,2,7
S009C003P017R001A060_rgb.avi,17,60,3,1,9
S017C002P020R002A053_rgb.avi,20,53,2,2,17
S005C002P018R001A044_rgb.avi,18,44,2,1,5
S027C001P085R001A077_rgb.avi,85,77,1,1,27
S011C001P015R002A008_rgb.avi,15,8,1,2,11
S031C002P051R002A107_rgb.avi,51,107,2,2,31
S031C001P097R001A065_rgb.avi,97,65,1,1,31
S023C002P055R001A078_rgb.avi,55,78,2,1,23
S009C003P017R002A050_rgb.avi,17,50,3,2,9
S027C002P043R002A115_rgb.avi,43,115,2,2,27
S021C002P060R001A071_rgb.avi,60,71,2,1,21
S009C003P007R001A022_rgb.avi,7,22,3,1,9
S013C001P028R002A016_rgb.avi,28,16,1,2,13
S027C001P079R001A100_rgb.avi,79,100,1,1,27
S023C002P061R001A107_rgb.avi,61,107,2,1,23
S003C002P007R002A048_rgb.avi,7,48,2,2,3
S011C001P015R001A038_rgb.avi,15,38,1,1,11
S001C001P008R001A054_rgb.avi,8,54,1,1,1
S005C002P010R001A053_rgb.avi,10,53,2,1,5
S009C002P007R002A053_rgb.avi,7,53,2,2,9
S009C002P017R001A021_rgb.avi,17,21,2,1,9
S005C003P018R001A005_rgb.avi,18,5,3,1,5
S017C003P020R002A012_rgb.avi,20,12,3,2,17
S019C002P042R002A076_rgb.avi,42,76,2,2,19
S005C003P010R002A022_rgb.avi,10,22,3,2,5
S009C001P025R001A013_rgb.avi,25,13,1,1,9
S003C003P007R001A039_rgb.avi,7,39,3,1,3
S009C002P017R002A011_rgb.avi,17,11,2,2,9
S005C003P018R002A035_rgb.avi,18,35,3,2,5
S017C003P020R001A022_rgb.avi,20,22,3,1,17
S029C001P067R002A061_rgb.avi,67,61,1,2,29
S009C001P025R002A023_rgb.avi,25,23,1,2,9
S031C001P006R002A098_rgb.avi,6,98,1,2,31
S003C003P007R002A009_rgb.avi,7,9,3,2,3
S031C003P041R002A104_rgb.avi,41,104,3,2,31
S005C003P010R001A012_rgb.avi,10,12,3,1,5
S031C002P044R002A070_rgb.avi,44,70,2,2,31
S015C001P016R001A012_rgb.avi,16,12,1,1,15
S005C002P021R001A019_rgb.avi,21,19,2,1,5
S025C001P065R001A116_rgb.avi,65,116,1,1,25
S011C002P016R001A040_rgb.avi,16,40,2,1,11
S019C001P008R002A089_rgb.avi,8,89,1,2,19
S019C001P048R002A095_rgb.avi,48,95,1,2,19
S007C001P026R001A022_rgb.avi,26,22,1,1,7
S005C002P021R002A029_rgb.avi,21,29,2,2,5
S029C003P090R001A108_rgb.avi,90,108,3,1,29
S015C001P016R002A022_rgb.avi,16,22,1,2,15
S019C003P047R002A102_rgb.avi,47,102,3,2,19
S007C001P026R002A012_rgb.avi,26,12,1,2,7
S031C001P082R001A112_rgb.avi,82,112,1,1,31
S031C003P085R001A092_rgb.avi,85,92,3,1,31
S021C001P060R002A082_rgb.avi,60,82,1,2,21
S027C003P044R001A066_rgb.avi,44,66,3,1,27
S031C002P097R002A096_rgb.avi,97,96,2,2,31
S023C003P066R002A074_rgb.avi,66,74,3,2,23
S027C003P084R001A079_rgb.avi,84,79,3,1,27
S007C003P016R002A056_rgb.avi,16,56,3,2,7
S023C002P067R001A089_rgb.avi,67,89,2,1,23
S027C002P085R002A084_rgb.avi,85,84,2,2,27
S023C003P056R001A082_rgb.avi,56,82,3,1,23
S013C002P018R002A013_rgb.avi,18,13,2,2,13
S017C001P008R001A033_rgb.avi,8,33,1,1,17
S029C002P006R001A086_rgb.avi,6,86,2,1,29
S001C001P002R002A044_rgb.avi,2,44,1,2,1
S013C002P018R001A023_rgb.avi,18,23,2,1,13
S029C001P074R002A098_rgb.avi,74,98,1,2,29
S013C002P008R002A051_rgb.avi,8,51,2,2,13
S019C003P050R001A072_rgb.avi,50,72,3,1,19
S023C002P063R002A100_rgb.avi,63,100,2,2,23
S021C001P058R001A063_rgb.avi,58,63,1,1,21
S021C002P056R002A109_rgb.avi,56,109,2,2,21
S023C001P059R001A115_rgb.avi,59,115,1,1,23
S027C002P041R001A112_rgb.avi,41,112,2,1,27
S017C001P008R002A003_rgb.avi,8,3,1,2,17
