video_id,subject,action,camera,repetition,setup
S012C002P018R001A028_rgb.avi,18,28,2,1,12
S014C001P025R002A054_rgb.avi,25,54,1,2,14
S010C001P017R002A034_rgb.avi,17,34,1,2,10
S011C003P016R001A001_rgb.avi,16,1,3,1,11
S021C002P058R002A090_rgb.avi,58,90,2,2,21
S010C002P025R002A006_rgb.avi,25,6,2,2,10
S030C001P095R002A069_rgb.avi,95,69,1,2,30
S016C001P008R002A008_rgb.avi,8,8,1,2,16
S010C001P017R001A004_rgb.avi,17,4,1,1,10
S012C002P018R002A018_rgb.avi,18,18,2,2,12
S030C002P093R001A114_rgb.avi,93,114,2,1,30
S010C002P025R001A036_rgb.avi,25,36,2,1,10
S014C002P017R001A056_rgb.avi,17,56,2,1,14
S016C001P008R001A038_rgb.avi,8,38,1,1,16
S006C001P015R001A054_rgb.avi,15,54,1,1,6
S028C002P046R001A091_rgb.avi,46,91,2,1,28
S011C003P016R002A031_rgb.avi,16,31,3,2,11
S013C001P028R001A026_rgb.avi,28,26,1,1,13
S007C001P017R002A058_rgb.avi,17,58,1,2,7
S009C003P017R001A060_rgb.avi,17,60,3,1,9
S008C002P034R001A015_rgb.avi,34,15,2,1,8
S005C002P018R001A044_rgb.avi,18,44,2,1,5
S027C001P085R001A077_rgb.avi,85,77,1,1,27
S011C001P015R002A008_rgb.avi,15,8,1,2,11
S031C001P097R001A065_rgb.avi,97,65,1,1,31
S023C002P055R001A078_rgb.avi,55,78,2,1,23
S009C003P017R002A050_rgb.avi,17,50,3,2,9
S008C002P034R002A025_rgb.avi,34,25,2,2,8
S020C003P053R002A076_rgb.avi,53,76,3,2,20
S026C003P070R001A112_rgb.avi,70,112,3,1,26
S013C001P028R002A016_rgb.avi,28,16,1,2,13
S011C001P015R001A038_rgb.avi,15,38,1,1,11
S001C001P008R001A054_rgb.avi,8,54,1,1,1
S009C002P017R001A021_rgb.avi,17,21,2,1,9
S005C003P018R001A005_rgb.avi,18,5,3,1,5
S008C003P034R001A054_rgb.avi,34,54,3,1,8
S009C001P025R001A013_rgb.avi,25,13,1,1,9
S009C002P017R002A011_rgb.avi,17,11,2,2,9
S005C003P018R002A035_rgb.avi,18,35,3,2,5
S009C001P025R002A023_rgb.avi,25,23,1,2,9
S015C001P016R001A012_rgb.avi,16,12,1,1,15
S011C002P016R001A040_rgb.avi,16,40,2,1,11
S018C002P008R001A071_rgb.avi,8,71,2,1,18
S019C001P008R002A089_rgb.avi,8,89,1,2,19
S014C003P017R002A027_rgb.avi,17,27,3,2,14
S010C003P025R002A047_rgb.avi,25,47,3,2,10
S015C001P016R002A022_rgb.avi,16,22,1,2,15
S019C003P047R002A102_rgb.avi,47,102,3,2,19
S012C003P018R002A059_rgb.avi,18,59,3,2,12
S014C003P017R001A017_rgb.avi,17,17,3,1,14
S031C001P082R001A112_rgb.avi,82,112,1,1,31
S031C003P085R001A092_rgb.avi,85,92,3,1,31
S031C002P097R002A096_rgb.avi,97,96,2,2,31
S027C003P084R001A079_rgb.avi,84,79,3,1,27
S020C002P054R001A105_rgb.avi,54,105,2,1,20
S007C003P016R002A056_rgb.avi,16,56,3,2,7
S010C001P015R001A033_rgb.avi,15,33,1,1,10
S014C001P027R001A053_rgb.avi,27,53,1,1,14
S006C001P017R002A053_rgb.avi,17,53,1,2,6
S014C002P015R002A051_rgb.avi,15,51,2,2,14
S030C002P091R002A113_rgb.avi,91,113,2,2,30
S010C001P015R002A003_rgb.avi,15,3,1,2,10
S027C002P085R002A084_rgb.avi,85,84,2,2,27
S020C001P052R002A078_rgb.avi,52,78,1,2,20
S023C003P056R001A082_rgb.avi,56,82,3,1,23
S013C002P018R002A013_rgb.avi,18,13,2,2,13
S030C003P094R002A067_rgb.avi,94,67,3,2,30
S017C001P008R001A033_rgb.avi,8,33,1,1,17
S001C001P002R002A044_rgb.avi,2,44,1,2,1
S028C002P008R001A114_rgb.avi,8,114,2,1,28
S028C001P046R002A062_rgb.avi,46,62,1,2,28
S013C002P018R001A023_rgb.avi,18,23,2,1,13
S029C001P074R002A098_rgb.avi,74,98,1,2,29
S013C002P008R002A051_rgb.avi,8,51,2,2,13
S019C003P050R001A072_rgb.avi,50,72,3,1,19
S016C003P019R002A044_rgb.avi,19,44,3,2,16
S021C001P058R001A063_rgb.avi,58,63,1,1,21
S021C002P056R002A109_rgb.avi,56,109,2,2,21
S023C001P059R001A115_rgb.avi,59,115,1,1,23
S017C001P008R002A003_rgb.avi,8,3,1,2,17
S009C003P015R001A057_rgb.avi,15,57,3,1,9
S013C003P008R001A020_rgb.avi,8,20,3,1,13
S016C002P019R001A035_rgb.avi,19,35,2,1,16
S013C003P018R002A052_rgb.avi,18,52,3,2,13
S009C002P015R002A026_rgb.avi,15,26,2,2,9
S030C003P085R001A099_rgb.avi,85,99,3,1,30
S020C003P008R002A084_rgb.avi,8,84,3,2,20
S025C003P058R001A070_rgb.avi,58,70,3,1,25
S013C003P008R002A010_rgb.avi,8,10,3,2,13
S026C001P050R001A114_rgb.avi,50,114,1,1,26
S016C002P019R002A005_rgb.avi,19,5,2,2,16
S018C001P008R002A082_rgb.avi,8,82,1,2,18
S012C001P019R002A057_rgb.avi,19,57,1,2,12
S009C002P015R001A016_rgb.avi,15,16,2,1,9
S002C001P014R001A049_rgb.avi,14,49,1,1,2
S003C001P016R002A045_rgb.avi,16,45,1,2,3
S014C003P015R001A020_rgb.avi,15,20,3,1,14
S008C001P025R002A028_rgb.avi,25,28,1,2,8
S030C003P081R002A110_rgb.avi,81,110,3,2,30
S007C002P016R002A017_rgb.avi,16,17,2,2,7
S031C001P008R002A101_rgb.avi,8,101,1,2,31
S032C003P008R002A072_rgb.avi,8,72,3,2,32
S025C002P055R001A113_rgb.avi,55,113,2,1,25
S014C003P015R002A010_rgb.avi,15,10,3,2,14
S030C003P081R001A120_rgb.avi,81,120,3,1,30
S008C001P025R001A018_rgb.avi,25,18,1,1,8
S007C002P016R001A027_rgb.avi,16,27,2,1,7
S025C001P058R002A115_rgb.avi,58,115,1,2,25
S026C003P050R002A071_rgb.avi,50,71,3,2,26
S010C003P018R001A044_rgb.avi,18,44,3,1,10
S010C003P008R002A036_rgb.avi,8,36,3,2,10
S011C001P001R002A024_rgb.avi,1,24,1,2,11
S015C002P019R002A023_rgb.avi,19,23,2,2,15
S019C003P046R001A069_rgb.avi,46,69,3,1,19
S011C001P019R001A041_rgb.avi,19,41,1,1,11
S019C002P047R002A094_rgb.avi,47,94,2,2,19
S010C003P008R001A006_rgb.avi,8,6,3,1,10
S011C001P001R001A014_rgb.avi,1,14,1,1,11
S015C002P019R001A013_rgb.avi,19,13,2,1,15
S031C002P085R001A104_rgb.avi,85,104,2,1,31
S031C001P100R001A080_rgb.avi,100,80,1,1,31
S032C001P008R001A117_rgb.avi,8,117,1,1,32
S008C003P019R001A025_rgb.avi,19,25,3,1,8
S018C002P045R001A098_rgb.avi,45,98,2,1,18
S006C001P001R002A048_rgb.avi,1,48,1,2,6
S007C003P018R001A028_rgb.avi,18,28,3,1,7
S017C003P015R002A036_rgb.avi,15,36,3,2,17
S013C003P027R002A056_rgb.avi,27,56,3,2,13
S008C003P019R002A015_rgb.avi,19,15,3,2,8
S030C001P081R001A075_rgb.avi,81,75,1,1,30
S007C003P018R002A018_rgb.avi,18,18,3,2,7
S009C001P008R002A052_rgb.avi,8,52,1,2,9
S031C003P008R001A064_rgb.avi,8,64,3,1,31
S017C003P015R001A006_rgb.avi,15,6,3,1,17
S008C003P001R002A040_rgb.avi,1,40,3,2,8
S003C001P008R002A049_rgb.avi,8,49,1,2,3
S013C001P015R002A025_rgb.avi,15,25,1,2,13
S031C002P098R001A064_rgb.avi,98,64,2,1,31
S021C002P055R002A065_rgb.avi,55,65,2,2,21
S008C002P001R001A031_rgb.avi,1,31,2,1,8
S013C002P027R002A017_rgb.avi,27,17,2,2,13
S027C002P082R001A061_rgb.avi,82,61,2,1,27
S013C001P015R001A015_rgb.avi,15,15,1,1,13
S008C002P019R002A054_rgb.avi,19,54,2,2,8
S026C002P070R001A084_rgb.avi,70,84,2,1,26
S008C002P001R002A001_rgb.avi,1,1,2,2,8
S013C002P027R001A027_rgb.avi,27,27,2,1,13
S017C002P015R001A047_rgb.avi,15,47,2,1,17
S007C002P018R002A059_rgb.avi,18,59,2,2,7
S011C001P038R001A049_rgb.avi,38,49,1,1,11
S005C001P017R001A045_rgb.avi,17,45,1,1,5
S029C002P089R002A077_rgb.avi,89,77,2,2,29
S029C002P049R002A068_rgb.avi,49,68,2,2,29
S014C001P008R002A025_rgb.avi,8,25,1,2,14
S019C001P050R002A117_rgb.avi,50,117,1,2,19
S010C002P018R001A005_rgb.avi,18,5,2,1,10
S027C001P008R001A081_rgb.avi,8,81,1,1,27
S021C003P058R002A106_rgb.avi,58,106,3,2,21
S026C002P008R002A079_rgb.avi,8,79,2,2,26
S012C001P017R002A019_rgb.avi,17,19,1,2,12
S023C003P059R002A070_rgb.avi,59,70,3,2,23
S027C001P080R001A095_rgb.avi,80,95,1,1,27
S014C001P008R001A015_rgb.avi,8,15,1,1,14
S021C001P057R002A091_rgb.avi,57,91,1,2,21
S026C003P049R001A098_rgb.avi,49,98,3,1,26
S030C001P094R001A102_rgb.avi,94,102,1,1,30
S030C003P093R001A082_rgb.avi,93,82,3,1,30
S016C001P025R001A049_rgb.avi,25,49,1,1,16
S012C001P017R001A029_rgb.avi,17,29,1,1,12
S029C003P008R001A089_rgb.avi,8,89,3,1,29
S010C002P008R001A047_rgb.avi,8,47,2,1,10
S015C003P019R001A052_rgb.avi,19,52,3,1,15
S010C002P018R002A035_rgb.avi,18,35,2,2,10
S028C003P046R001A107_rgb.avi,46,107,3,1,28
S003C002P001R001A021_rgb.avi,1,21,2,1,3
S007C001P019R001A026_rgb.avi,19,26,1,1,7
S008C001P008R002A059_rgb.avi,8,59,1,2,8
S030C002P081R002A086_rgb.avi,81,86,2,2,30
S003C002P001R002A011_rgb.avi,1,11,2,2,3
S007C001P019R002A016_rgb.avi,19,16,1,2,7
S025C003P055R001A085_rgb.avi,55,85,3,1,25
S031C002P100R002A073_rgb.avi,100,73,2,2,31
S003C002P019R002A044_rgb.avi,19,44,2,2,3
S007C001P001R002A043_rgb.avi,1,43,1,2,7
S006C003P008R002A051_rgb.avi,8,51,3,2,6
S013C003P025R001A051_rgb.avi,25,51,3,1,13
S017C003P017R001A031_rgb.avi,17,31,3,1,17
S019C001P047R001A067_rgb.avi,47,67,1,1,19
S012C002P016R002A056_rgb.avi,16,56,2,2,12
S024C003P057R002A089_rgb.avi,57,89,3,2,24
S014C002P019R001A018_rgb.avi,19,18,2,1,14
S001C003P005R002A013_rgb.avi,5,13,3,2,1
S032C002P103R001A109_rgb.avi,103,109,2,1,32
S020C002P008R002A112_rgb.avi,8,112,2,2,20
S031C003P082R002A077_rgb.avi,82,77,3,2,31
S017C003P017R002A001_rgb.avi,17,1,3,2,17
S014C002P019R002A028_rgb.avi,19,28,2,2,14
S001C003P005R001A023_rgb.avi,5,23,3,1,1
S021C002P057R001A062_rgb.avi,57,62,2,1,21
S013C002P025R001A010_rgb.avi,25,10,2,1,13
S021C001P059R002A108_rgb.avi,59,108,1,2,21
S027C002P080R002A066_rgb.avi,80,66,2,2,27
S023C002P056R001A114_rgb.avi,56,114,2,1,23
S012C003P016R002A017_rgb.avi,16,17,3,2,12
S013C001P017R001A022_rgb.avi,17,22,1,1,13
S001C002P005R002A052_rgb.avi,5,52,2,2,1
S008C001P031R002A004_rgb.avi,31,4,1,2,8
S028C003P008R001A082_rgb.avi,8,82,3,1,28
S014C003P019R001A059_rgb.avi,19,59,3,1,14
S029C001P089R001A084_rgb.avi,89,84,1,1,29
S005C001P015R002A042_rgb.avi,15,42,1,2,5
S012C003P016R001A027_rgb.avi,16,27,3,1,12
S017C002P017R002A040_rgb.avi,17,40,2,2,17
S013C002P025R002A020_rgb.avi,25,20,2,2,13
S003C001P002R001A059_rgb.avi,2,59,1,1,3
S027C002P008R002A072_rgb.avi,8,72,2,2,27
S013C001P017R002A012_rgb.avi,17,12,1,2,13
S008C001P031R001A034_rgb.avi,31,34,1,1,8
S031C003P097R002A100_rgb.avi,97,100,3,2,31
S003C003P001R001A060_rgb.avi,1,60,3,1,3
S026C001P070R002A077_rgb.avi,70,77,1,2,26
S020C001P053R001A113_rgb.avi,53,113,1,1,20
S020C003P054R001A093_rgb.avi,54,93,3,1,20
S003C003P019R001A035_rgb.avi,19,35,3,1,3
S006C002P008R001A020_rgb.avi,8,20,2,1,6
S003C003P001R002A050_rgb.avi,1,50,3,2,3
S002C001P008R002A042_rgb.avi,8,42,1,2,2
S003C003P019R002A005_rgb.avi,19,5,3,2,3
S006C002P008R002A010_rgb.avi,8,10,2,2,6
S030C003P091R002A085_rgb.avi,91,85,3,2,30
S031C001P098R002A097_rgb.avi,98,97,1,2,31
S027C002P078R001A098_rgb.avi,78,98,2,1,27
S027C001P082R002A092_rgb.avi,82,92,1,2,27
S027C003P085R002A112_rgb.avi,85,112,3,2,27
S021C001P055R001A096_rgb.avi,55,96,1,1,21
S016C001P019R002A036_rgb.avi,19,36,1,2,16
S031C003P085R001A062_rgb.avi,85,62,3,1,31
S001C003P002R001A006_rgb.avi,2,6,3,1,1
S009C001P015R001A025_rgb.avi,15,25,1,1,9
S026C002P050R002A117_rgb.avi,50,117,2,2,26
S016C001P019R001A006_rgb.avi,19,6,1,1,16
S025C003P056R001A119_rgb.avi,56,119,3,1,25
S001C003P002R002A036_rgb.avi,2,36,3,2,1
S017C003P008R001A041_rgb.avi,8,41,3,1,17
S012C002P019R001A054_rgb.avi,19,54,2,1,12
S009C001P015R002A015_rgb.avi,15,15,1,2,9
S019C001P008R002A079_rgb.avi,8,79,1,2,19
S010C001P016R002A048_rgb.avi,16,48,1,2,10
S018C002P008R001A081_rgb.avi,8,81,2,1,18
S006C003P017R002A021_rgb.avi,17,21,3,2,6
S003C002P016R001A046_rgb.avi,16,46,2,1,3
S025C001P055R001A120_rgb.avi,55,120,1,1,25
S008C002P035R002A059_rgb.avi,35,59,2,2,8
S007C001P016R001A014_rgb.avi,16,14,1,1,7
S031C002P008R001A102_rgb.avi,8,102,2,1,31
S014C003P027R002A011_rgb.avi,27,11,3,2,14
S025C001P055R002A110_rgb.avi,55,110,1,2,25
S006C003P017R001A011_rgb.avi,17,11,3,1,6
S007C001P016R002A024_rgb.avi,16,24,1,2,7
S014C003P027R001A021_rgb.avi,27,21,3,1,14
S010C003P015R001A041_rgb.avi,15,41,3,1,10
S006C002P017R002A060_rgb.avi,17,60,2,2,6
S020C003P053R002A086_rgb.avi,53,86,3,2,20
S020C001P054R002A106_rgb.avi,54,106,1,2,20
