video_id,subject,action,camera,repetition,setup
S012C002P018R001A028_rgb.avi,18,28,2,1,12
S028C003P087R002A073_rgb.avi,87,73,3,2,28
S010C001P007R001A046_rgb.avi,7,46,1,1,10
S028C003P073R002A113_rgb.avi,73,113,3,2,28
S014C001P025R002A054_rgb.avi,25,54,1,2,14
S010C001P017R002A034_rgb.avi,17,34,1,2,10
S016C001P040R001A033_rgb.avi,40,33,1,1,16
S026C002P075R001A066_rgb.avi,75,66,2,1,26
S014C002P007R001A014_rgb.avi,7,14,2,1,14
S010C002P025R002A006_rgb.avi,25,6,2,2,10
S030C001P095R002A069_rgb.avi,95,69,1,2,30
S026C002P041R001A119_rgb.avi,41,119,2,1,26
S016C001P008R002A008_rgb.avi,8,8,1,2,16
S010C001P017R001A004_rgb.avi,17,4,1,1,10
S022C001P065R001A076_rgb.avi,65,76,1,1,22
S016C001P040R002A003_rgb.avi,40,3,1,2,16
S012C002P018R002A018_rgb.avi,18,18,2,2,12
S030C002P093R001A114_rgb.avi,93,114,2,1,30
S030C002P067R001A074_rgb.avi,67,74,2,1,30
S010C002P025R001A036_rgb.avi,25,36,2,1,10
S014C002P017R001A056_rgb.avi,17,56,2,1,14
S016C001P008R001A038_rgb.avi,8,38,1,1,16
S006C001P015R001A054_rgb.avi,15,54,1,1,6
S014C002P007R002A024_rgb.avi,7,24,2,2,14
S028C002P046R001A091_rgb.avi,46,91,2,1,28
S008C002P034R001A015_rgb.avi,34,15,2,1,8
S022C002P067R001A082_rgb.avi,67,82,2,1,22
S008C002P034R002A025_rgb.avi,34,25,2,2,8
S020C003P053R002A076_rgb.avi,53,76,3,2,20
S026C003P070R001A112_rgb.avi,70,112,3,1,26
S026C001P077R001A092_rgb.avi,77,92,1,1,26
S028C002P042R002A118_rgb.avi,42,118,2,2,28
S032C001P041R002A077_rgb.avi,41,77,1,2,32
S024C002P061R001A067_rgb.avi,61,67,2,1,24
S032C001P106R002A118_rgb.avi,106,118,1,2,32
S020C002P043R002A075_rgb.avi,43,75,2,2,20
S008C003P034R001A054_rgb.avi,34,54,3,1,8
S016C001P021R001A027_rgb.avi,21,27,1,1,16
S016C001P039R002A042_rgb.avi,39,42,1,2,16
S030C001P088R002A109_rgb.avi,88,109,1,2,30
S030C001P048R002A116_rgb.avi,48,116,1,2,30
S016C001P021R002A017_rgb.avi,21,17,1,2,16
S030C003P043R001A108_rgb.avi,43,108,3,1,30
S030C001P044R001A088_rgb.avi,44,88,1,1,30
S032C001P102R001A091_rgb.avi,102,91,1,1,32
S032C003P105R001A111_rgb.avi,105,111,3,1,32
S014C003P007R001A055_rgb.avi,7,55,3,1,14
S018C002P008R001A071_rgb.avi,8,71,2,1,18
S014C003P017R002A027_rgb.avi,17,27,3,2,14
S010C003P025R002A047_rgb.avi,25,47,3,2,10
S018C003P041R002A087_rgb.avi,41,87,3,2,18
S012C003P018R002A059_rgb.avi,18,59,3,2,12
S014C003P017R001A017_rgb.avi,17,17,3,1,14
