video,subject,action,viewpoint
v03_s10_e01.avi,10,9,"3
"
v01_s10_e01.avi,10,9,"1
"
v02_s10_e02.avi,10,9,"2
"
v03_s10_e00.avi,10,9,"3
"
v02_s10_e03.avi,10,9,"2
"
v02_s10_e04.avi,10,9,"2
"
v01_s10_e00.avi,10,9,"1
"
v02_s10_e00.avi,10,9,"2
"
v01_s10_e04.avi,10,9,"1
"
v01_s10_e03.avi,10,9,"1
"
v03_s10_e04.avi,10,9,"3
"
v03_s10_e03.avi,10,9,"3
"
v01_s10_e02.avi,10,9,"1
"
v02_s10_e01.avi,10,9,"2
"
v03_s10_e02.avi,10,9,"3
"
v01_s10_e02.avi,10,3,"1
"
v03_s10_e02.avi,10,3,"3
"
v01_s10_e04.avi,10,3,"1
"
v01_s10_e03.avi,10,3,"1
"
v02_s10_e00.avi,10,3,"2
"
v03_s10_e04.avi,10,3,"3
"
v03_s10_e03.avi,10,3,"3
"
v03_s10_e00.avi,10,3,"3
"
v01_s10_e00.avi,10,3,"1
"
v02_s10_e03.avi,10,3,"2
"
v03_s10_e01.avi,10,3,"3
"
v02_s10_e02.avi,10,3,"2
"
v01_s10_e01.avi,10,3,"1
"
v03_s10_e02.avi,10,4,"3
"
v01_s10_e02.avi,10,4,"1
"
v02_s10_e01.avi,10,4,"2
"
v03_s10_e04.avi,10,4,"3
"
v03_s10_e03.avi,10,4,"3
"
v02_s10_e00.avi,10,4,"2
"
v01_s10_e04.avi,10,4,"1
"
v01_s10_e03.avi,10,4,"1
"
v02_s10_e03.avi,10,4,"2
"
v01_s10_e00.avi,10,4,"1
"
v03_s10_e00.avi,10,4,"3
"
v01_s10_e01.avi,10,4,"1
"
v02_s10_e02.avi,10,4,"2
"
v03_s10_e01.avi,10,4,"3
"
v02_s10_e02.avi,10,5,"2
"
v01_s10_e01.avi,10,5,"1
"
v03_s10_e01.avi,10,5,"3
"
v01_s10_e00.avi,10,5,"1
"
v02_s10_e04.avi,10,5,"2
"
v02_s10_e03.avi,10,5,"2
"
v03_s10_e00.avi,10,5,"3
"
v03_s10_e03.avi,10,5,"3
"
v03_s10_e04.avi,10,5,"3
"
v01_s10_e03.avi,10,5,"1
"
